invoice_and_item_number,date,store_number,item_number,bottles_sold,bottle_volume_ml,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-25539700026,2020-02-28,4273,52593,1,200,3,0.2,0.05
INV-25543100037,2020-02-28,4260,86112,1,1000,3.5,1,0.26
INV-25525000048,2020-02-28,2553,64863,1,200,3.75,0.2,0.05
INV-25526900069,2020-02-28,4180,89193,1,200,4.5,0.2,0.05
INV-25514000012,2020-02-28,4369,36968,1,375,5.25,0.37,0.09
INV-25520900031,2020-02-28,5903,40070,1,375,5.25,0.37,0.09
INV-25526900042,2020-02-28,4180,40593,1,375,5.25,0.37,0.09
INV-25527700042,2020-02-28,5236,10932,1,50,6,0.05,0.01
INV-25527700044,2020-02-28,5236,26822,2,100,6,0.2,0.05
INV-25519700006,2020-02-28,4794,41413,1,750,6.75,0.75,0.19
INV-25543000005,2020-02-28,2550,10624,1,375,6.75,0.37,0.09
INV-25526900025,2020-02-28,4180,43034,1,375,6.75,0.37,0.09
INV-25512600060,2020-02-28,2505,43124,1,375,6.75,0.37,0.09
INV-25544600093,2020-02-28,3818,86112,2,1000,7,2,0.52
INV-25534400017,2020-02-28,4972,78866,1,750,7.5,0.75,0.19
INV-25543800028,2020-02-28,4011,84496,1,750,7.5,0.75,0.19
INV-25527700103,2020-02-28,5236,78866,1,750,7.5,0.75,0.19
INV-25527400077,2020-02-28,5907,44660,1,750,7.5,0.75,0.19
INV-25534200028,2020-02-28,4908,78456,1,750,7.5,0.75,0.19
INV-25534400016,2020-02-28,4972,79336,1,750,7.5,0.75,0.19
INV-25522500008,2020-02-28,5252,84496,1,750,7.5,0.75,0.19
INV-25529900014,2020-02-28,4267,17127,1,1000,7.5,1,0.26
INV-25519700029,2020-02-28,4794,82187,1,1000,7.5,1,0.26
INV-25534900058,2020-02-28,3857,69631,1,50,7.5,0.05,0.01
INV-25522800013,2020-02-28,2674,69713,1,50,7.5,0.05,0.01
INV-25545100107,2020-02-28,5425,65204,1,50,7.5,0.05,0.01
INV-25536200019,2020-02-28,2602,65013,1,50,7.5,0.05,0.01
INV-25515200032,2020-02-28,5245,65204,1,50,7.5,0.05,0.01
INV-25539700046,2020-02-28,4273,65204,1,50,7.5,0.05,0.01
INV-25521500033,2020-02-28,5517,65013,1,50,7.5,0.05,0.01
INV-25536200020,2020-02-28,2602,65204,1,50,7.5,0.05,0.01
INV-25527400074,2020-02-28,5907,65013,1,50,7.5,0.05,0.01
INV-25544000013,2020-02-28,3909,69631,1,50,7.5,0.05,0.01
INV-25520900070,2020-02-28,5903,65204,1,50,7.5,0.05,0.01
INV-25545000030,2020-02-28,2566,65204,1,50,7.5,0.05,0.01
INV-25519600024,2020-02-28,2506,65204,1,50,7.5,0.05,0.01
INV-25520900022,2020-02-28,5903,34164,1,200,7.5,0.2,0.05
INV-25531300014,2020-02-28,3963,64759,1,200,7.5,0.2,0.05
INV-25519700019,2020-02-28,4794,47790,1,200,7.5,0.2,0.05
INV-25531300010,2020-02-28,3963,34164,1,200,7.5,0.2,0.05
INV-25526900017,2020-02-28,4180,34164,1,200,7.5,0.2,0.05
INV-25540800025,2020-02-28,5051,52580,2,200,7.5,0.4,0.1
INV-25527400072,2020-02-28,5907,64863,2,200,7.5,0.4,0.1
INV-25534700043,2020-02-28,2178,36482,1,375,7.5,0.37,0.09
INV-25526900086,2020-02-28,4180,69634,1,375,8,0.37,0.09
INV-25525000051,2020-02-28,2553,64864,1,375,8,0.37,0.09
INV-25520900064,2020-02-28,5903,69634,1,375,8,0.37,0.09
INV-25541300014,2020-02-28,3698,35913,5,200,8.5,1,0.26
INV-25543000043,2020-02-28,2550,38056,1,750,9,0.75,0.19
INV-25526900067,2020-02-28,4180,43984,1,750,9,0.75,0.19
INV-25534400027,2020-02-28,4972,43026,1,750,9,0.75,0.19
INV-25520900061,2020-02-28,5903,43026,1,750,9,0.75,0.19
INV-25527400053,2020-02-28,5907,30056,2,750,9,1.5,0.39
INV-25527400042,2020-02-28,5907,35946,2,750,9,1.5,0.39
INV-25520600002,2020-02-28,5361,36966,6,100,9,0.6,0.15
INV-25536200016,2020-02-28,2602,52593,3,200,9,0.6,0.15
INV-25521200001,2020-02-28,5434,84172,1,50,9,0.05,0.01
INV-25532900021,2020-02-28,4334,84152,1,50,9,0.05,0.01
INV-25527700038,2020-02-28,5236,84172,1,50,9,0.05,0.01
INV-25517600008,2020-02-28,2678,84207,1,50,9,0.05,0.01
INV-25517600005,2020-02-28,2678,84197,1,50,9,0.05,0.01
INV-25517600006,2020-02-28,2678,84172,1,50,9,0.05,0.01
INV-25538400060,2020-02-28,2606,27692,1,50,9,0.05,0.01
INV-25527700036,2020-02-28,5236,84197,1,50,9,0.05,0.01
INV-25525300004,2020-02-28,4291,84172,1,50,9,0.05,0.01
INV-25517600007,2020-02-28,2678,84152,1,50,9,0.05,0.01
INV-25525000049,2020-02-28,2553,100423,1,100,9,0.1,0.02
INV-25523200004,2020-02-28,5785,100423,1,100,9,0.1,0.02
INV-25527400036,2020-02-28,5907,89193,2,200,9,0.4,0.1
INV-25515500024,2020-02-28,4377,89193,2,200,9,0.4,0.1
INV-25520900016,2020-02-28,5903,89193,2,200,9,0.4,0.1
INV-25523100054,2020-02-28,5210,72448,1,375,9,0.37,0.09
INV-25519700001,2020-02-28,4794,41943,1,750,10.5,0.75,0.19
INV-25526800013,2020-02-28,5908,40593,2,375,10.5,0.75,0.19
INV-25526800012,2020-02-28,5908,36968,2,375,10.5,0.75,0.19
INV-25527000104,2020-02-28,2569,44520,1,750,10.5,0.75,0.19
INV-25510200012,2020-02-28,4392,39917,2,375,10.5,0.75,0.19
INV-25508900022,2020-02-28,4696,40192,2,375,10.5,0.75,0.19
INV-25515200008,2020-02-28,5245,25604,2,375,10.5,0.75,0.19
INV-25510500030,2020-02-28,4448,36968,2,375,10.5,0.75,0.19
INV-25520900038,2020-02-28,5903,40598,2,375,10.5,0.75,0.19
