invoice_and_item_number,date,store_number,item_number,bottles_sold,bottle_volume_ml,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-24442700065,2020-01-08,5316,30056,1,750,4.5,0.75,0.19
INV-24445400020,2020-01-08,3484,45246,1,750,6,0.75,0.19
INV-24437200034,2020-01-08,3549,10932,1,50,6,0.05,0.01
INV-24443300051,2020-01-08,2565,39650,1,50,6,0.05,0.01
INV-24445200001,2020-01-08,5880,41550,1,50,6,0.05,0.01
INV-24431500038,2020-01-08,2285,41550,1,50,6,0.05,0.01
INV-24432200048,2020-01-08,5071,41840,1,750,6.75,0.75,0.19
INV-24422200067,2020-01-08,2620,41927,1,750,6.75,0.75,0.19
INV-24428900011,2020-01-08,3443,43124,1,375,6.75,0.37,0.09
INV-24437600060,2020-01-08,2191,11940,1,750,7.5,0.75,0.19
INV-24437600073,2020-01-08,2191,78866,1,750,7.5,0.75,0.19
INV-24440400021,2020-01-08,3990,25877,1,1000,7.5,1,0.26
INV-24430900070,2020-01-08,2605,69631,1,50,7.5,0.05,0.01
INV-24429900016,2020-01-08,3773,65013,1,50,7.5,0.05,0.01
INV-24435900005,2020-01-08,5655,69713,1,50,7.5,0.05,0.01
INV-24443200016,2020-01-08,4234,65204,1,50,7.5,0.05,0.01
INV-24425000020,2020-01-08,2465,65204,1,50,7.5,0.05,0.01
INV-24443200013,2020-01-08,4234,69609,1,50,7.5,0.05,0.01
INV-24431700003,2020-01-08,2625,69609,1,50,7.5,0.05,0.01
INV-24440100053,2020-01-08,2642,65204,1,50,7.5,0.05,0.01
INV-24421500126,2020-01-08,2500,69631,1,50,7.5,0.05,0.01
INV-24442700078,2020-01-08,5316,69631,1,50,7.5,0.05,0.01
INV-24443200014,2020-01-08,4234,69631,1,50,7.5,0.05,0.01
INV-24437900020,2020-01-08,4993,69609,1,50,7.5,0.05,0.01
INV-24437700002,2020-01-08,2191,69609,1,50,7.5,0.05,0.01
INV-24434000045,2020-01-08,3842,11299,1,200,7.5,0.2,0.05
INV-24422200072,2020-01-08,2620,43334,1,375,7.5,0.37,0.09
INV-24443300039,2020-01-08,2565,35913,5,200,8.5,1,0.26
INV-24428900009,2020-01-08,3443,35913,5,200,8.5,1,0.26
INV-24443700066,2020-01-08,3390,52316,1,750,9,0.75,0.19
INV-24442700069,2020-01-08,5316,72722,1,750,9,0.75,0.19
INV-24436100021,2020-01-08,3045,73986,1,750,9,0.75,0.19
INV-24442700040,2020-01-08,5316,43076,1,750,9,0.75,0.19
INV-24443300048,2020-01-08,2565,37414,2,375,9,0.75,0.19
INV-24432200046,2020-01-08,5071,35946,2,750,9,1.5,0.39
INV-24427800066,2020-01-08,5314,84143,1,50,9,0.05,0.01
INV-24427800068,2020-01-08,5314,84152,1,50,9,0.05,0.01
INV-24443200011,2020-01-08,4234,81124,1,50,9,0.05,0.01
INV-24443200012,2020-01-08,4234,84143,1,50,9,0.05,0.01
INV-24424700019,2020-01-08,4810,84172,1,50,9,0.05,0.01
