category,category_name,vendor_number,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail
1091100,American Distilled Spirit Specialty,578,77052,Hog Wild Cinnamon,6,750,12.0,18.0
,,192,217,Jagermeister w/ Mobile Phone Wood Amplifier,12,750,12.05,18.08
1091200,Neutral Grain Spirits,154,77284,Rocket Fuel,12,750,6.65,9.98
1701100,Temporary & Specialty Packages,285,61613,Pennsylvania Dutch Egg Nog,24,200,1.65,2.48
1701100,DECANTERS & SPECIALTY PACKAGES,130,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,3.2,6.4
1701100,Temporary & Specialty Packages,394,479,Bakon Sports Box Bloody Mary Kit,12,50,4.5,6.75
,,130,139,Disaronno Party Pack Sour VAP,6,750,14.03,21.05
1701100,Temporary & Specialty Packages,384,100617,Midnight Moon Apple Pie 750ml w/100 Proof 50ml,6,800,11.5,17.25
1701100,Temporary & Specialty Packages,521,100504,Western Son Original w/3-50ml,8,900,13.53,20.3
1701100,Temporary & Specialty Packages,285,61616,Pennsylvania Dutch Egg Nog,12,750,5.04,7.56
1052100,,313,51326,Maraska Slivovitz,6,750,14.6,21.9
1901200,Special Order Items,460,903747,Capel Pisco Premium,12,750,9.02,13.53
1701100,Temporary & Specialty Packages,208,27230,Climax Moonshine,12,375,8.0,12.0
1091200,Neutral Grain Spirits,384,76032,Midnight Moon Original,6,750,11.5,17.25
1091300,Neutral Grain Spirits Flavored,384,76036,Midnight Moon Apple Pie,6,750,11.5,17.25
1701100,Temporary & Specialty Packages,192,100569,Jagermeister w/Shot Glass Ice Mold,6,750,12.45,18.68
1081015,IMPORTED AMARETTO,130,64136,Disaronno Amaretto,12,750,13.86,20.79
,,130,249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,6.4,9.6
1011700,Corn Whiskies,549,26815,Green Frog Distillery Caramel Flavored Corn Whiskey,6,750,15.0,22.5
1011300,Single Barrel Bourbon Whiskies,184,18350,Four Roses Single Barrel,6,750,20.17,30.26
1011600,Straight Rye Whiskies,116,26998,Iowa Legendary Rye Aged,12,750,25.0,37.5
1701100,Temporary & Specialty Packages,130,100576,Disaronno Wears Trussardi w/2 Flute Glasses,6,750,13.86,20.79
1901200,Special Order Items,451,902917,Don Q Limon,12,750,6.42,9.63
1901200,Special Order Items,293,965266,Jinro Chamisul Classic Soju,24,375,3.63,5.45
1082010,AMARETTO - IMPORTED,497,903942,Chartreuse Green French Liqueur,12,750,31.13,46.7
1901200,Special Order Items,978,903880,Luksusowa Potato Vodka,12,750,7.46,11.19
1032000,Imported Vodka,217,987514,Kirkland Signature French Vodka,6,1750,14.48,21.72
1901200,Special Order Items,239,904715,Zubrowka Bison Grass Vodka,6,750,12.97,19.46
1011700,Corn Whiskies,549,26787,Green Frog Distillery Straight Corn Whiskey 100prf,6,750,17.5,26.25
1701100,Temporary & Specialty Packages,285,61618,Pennsylvania Dutch Egg Nog,6,1750,9.44,14.16
1901200,Special Order Items,451,943435,Don Q Passion,12,750,6.42,9.63
1701100,Temporary & Specialty Packages,384,100617,Midnight Moon Apple Pie 750ml w/100prf 50ml,6,800,11.5,17.25
1051150,MISCELLANEOUS  BRANDIES,313,902142,Maraska Slivovitz,6,750,14.61,21.92
,,192,3135,Jagermeister w/2 Shot Glasses,12,750,12.05,18.08
1091100,American Distilled Spirit Specialty,578,77054,Private First Class,12,750,12.96,19.44
1901200,Special Order Items,310,989457,Hacienda Vieja Reposado,12,1000,17.34,26.01
1081700,DISTILLED SPIRITS SPECIALTY,116,26996,Iowa Legendary Rye Unaged,12,750,17.59,26.39
1701100,Temporary & Specialty Packages,338,100018,Barenjager Honey w/2 Rocks Glasses,6,750,14.92,22.38
1091100,American Distilled Spirit Specialty,154,77805,Saints N Sinners Apple Pie,12,750,8.0,12.0
1901200,Special Order Items,497,903942,SOOH Chartreuse Green French Liqueur,12,750,31.13,46.7
1901200,Special Order Items,079,927461,SOOH Breckenridge Bourbon,6,750,28.5,42.75
1091100,American Distilled Spirit Specialty,116,78050,Ziyad White Rye,12,750,27.0,40.5
1011700,Corn Whiskies,549,26806,Green Frog Distillery Barreled Aged Corn Whiskey,6,750,20.0,30.0
1011700,Corn Whiskies,525,28134,Essence of Iowa Whiskey,12,750,19.25,28.88
1031000,American Vodka,301,38180,Titos Handmade Mini,5,600,12.8,19.2
1070000,Cocktails / RTD,308,72448,Tooters Blu-Dacious Kamikazi Mini,12,375,5.75,8.63
,,090,980428,Figenza Mediterranean Fig Vodka,6,750,22.67,34.01
1701100,DECANTERS & SPECIALTY PACKAGES,192,3310,Jagermeister w/Flask,12,750,12.05,18.08
1081700,DISTILLED SPIRITS SPECIALTY,384,76044,Midnight Moon Blueberry,6,750,11.5,17.25
1081700,DISTILLED SPIRITS SPECIALTY,208,27439,Tim Smith's Climax Moonshine,6,750,17.5,26.25
1101100,AMERICAN ALCOHOL,154,77284,Rocket Fuel,12,750,6.45,9.68
1701100,DECANTERS & SPECIALTY PACKAGES,962,238,Forbidden Secret Coffee Pack,6,750,11.62,17.43
1031000,American Vodka,301,38176,Titos Vodka,12,750,9.65,14.48
1031000,American Vodka,301,38178,Titos Handmade Vodka,6,1750,18.52,27.78
1051100,APRICOT BRANDIES,285,902609,Jacquin's Apricot Brandy,12,750,6.73,10.1
1011700,Corn Whiskies,481,977330,Sugarland Appalachian Apple Pie,6,750,13.52,20.28
1031000,American Vodka,301,38174,Titos Handmade Vodka,12,375,5.42,8.13
